Date,Open,High,Low,Close,Adj Close,Volume,kama,ppo,pvo,roc,macd,rsi,obv,adi,adx,aroon,stoo,boll_mavg,atr
2015-08-07,2.83162,3.53661,2.5211200000000002,2.77212,2.77212,164329.0,,,,,,,164329.0,-83094.16952407213,0.0,,,,0.0
2015-08-08,2.79376,2.79881,0.714725,0.753325,0.753325,674188.0,,,,,,,-509859.0,-732308.4695070384,0.0,,,,0.0
2015-08-09,0.706136,0.87981,0.629191,0.701897,0.701897,532170.0,,,,,,,-1042029.0,-955707.3705879619,0.0,,,,0.0
2015-08-10,0.713989,0.729854,0.6365460000000001,0.708448,0.708448,405283.0,,,,,,,-636746.0,-736378.1558582499,0.0,,,,0.0
2015-08-11,0.708087,1.13141,0.663235,1.06786,1.06786,1463100.0,,,,,,,826354.0,329519.9217836575,0.0,,,,0.0
2015-08-12,1.05875,1.2899399999999999,0.883608,1.2174399999999999,1.2174399999999999,2150620.0,,,,,,,2976974.0,1712688.9211240981,0.0,,,,0.0
2015-08-13,1.22224,1.96507,1.1719899999999999,1.8276700000000001,1.8276700000000001,4068680.0,,,,,,,7045654.0,4371582.690226838,0.0,,,,0.0
2015-08-14,1.81092,2.26188,1.75475,1.82787,1.82787,4637030.0,,,,,,,11682684.0,1071723.173534867,0.0,,,,0.0
2015-08-15,1.80289,1.8772400000000002,1.5709799999999998,1.6889,1.6889,2554360.0,,,,,,,9128324.0,484385.5153359523,0.0,,,,0.0
2015-08-16,1.68435,1.69524,1.08981,1.56603,1.56603,3550790.0,1.56603,,,,,,5577534.0,2519566.5237101656,0.0,,,,0.0
2015-08-17,1.5811899999999999,1.5811899999999999,1.18534,1.20361,1.20361,1942830.0,1.5308110643020212,,,,,,3634704.0,756074.6775563196,0.0,,,,0.0
2015-08-18,1.2153,1.3311600000000001,1.08705,1.08705,1.08705,1485680.0,1.5180953650346196,,,,,,2149024.0,-729605.3224436804,0.0,,,,0.0
2015-08-19,1.16693,1.31799,1.16693,1.25886,1.25886,1486240.0,1.5044974101079074,,,-54.588545950391755,,,3635264.0,-406894.6644269966,0.0,,,,0.0
2015-08-20,1.25118,1.5333,1.24833,1.46492,1.46492,2843760.0,1.5016539459833609,,,94.4605581920154,,41.12822719741945,6479024.0,1072116.0019589374,0.0,,28.744704495636853,,0.5489842142857142
2015-08-21,1.4775200000000002,1.5564200000000001,1.3528,1.39529,1.39529,2020970.0,1.498733156848688,,,98.788426222081,,39.896859817096505,4458054.0,-105410.17818054021,0.0,,35.31030102520304,,0.5243153418367347
2015-08-22,1.39629,1.47641,1.3526799999999999,1.37923,1.37923,948310.0,1.4970636132366912,,,94.68330773747685,,39.60234820574102,3509744.0,-646743.2041241264,0.0,,45.93887752045858,,0.4957021031341108
2015-08-23,1.375,1.4097,1.29777,1.35259,1.35259,1589300.0,1.4843315249977846,,,26.663607589009786,,39.08691960267539,1920444.0,-679259.0354472765,0.0,,44.05519111764104,,0.4682898100531029
2015-08-24,1.34559,1.3627799999999999,1.23127,1.23127,1.23127,924920.0,1.4567461259897592,,,1.1359902746747463,,36.74166866429057,995524.0,-1604179.0354472767,0.0,,35.53227889869233,,0.44423410933502405
2015-08-25,1.22861,1.2418200000000001,1.12865,1.14019,1.14019,1307180.0,1.4247734342508107,,,-37.615105571574745,,35.04178426514163,-311656.0,-2644771.47337252,0.0,,18.616209282347754,,0.4205866729539509
2015-08-26,1.13279,1.20248,1.0618299999999998,1.15998,1.15998,1056750.0,1.4057497348512724,,,-36.53925060316106,,35.737490108513285,745094.0,-2226654.605260183,0.0,,8.17882588225492,1.3402274999999997,0.40059119631438295
2015-08-27,1.16981,1.1888299999999998,1.13729,1.1477,1.1477,686662.0,1.4029551126758775,,,-32.044526022855116,,35.48353572823616,58432.0,-2635933.934713034,0.0,,7.155535186033922,1.2590064999999997,0.37565896800621273
2015-08-28,1.1476600000000001,1.20779,1.1205,1.1913799999999999,1.1913799999999999,721872.0,1.398492723414927,,,-23.9235519115215,,37.19318634504134,780304.0,-2185477.2061072383,0.0,,15.88771292969181,1.2809092499999997,0.35506118457719754
2015-08-29,1.19353,1.2072100000000001,1.14949,1.18255,1.18255,375377.0,1.394309270894046,,,-1.7497362102342187,,36.97985006792329,404927.0,-2130848.5366685693,0.0,,19.058745520279142,1.3049418999999998,0.33382252853596917
2015-08-30,1.18299,1.36799,1.17061,1.3192700000000002,1.3192700000000002,1337650.0,1.3905058166335862,,,21.362402833356338,,42.48117574195328,1742577.0,-1453552.2503173663,0.0,,49.56869993838577,1.3354829999999995,0.3240766336405428
